カテゴリ,食品名,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),糖質(g),食物繊維(g),食塩相当量(g)
チキン,国産鶏のサラダチキン,97,20.8,1.4,0.7,0,0.6,1.5
チキン,炭火やきとりグリルチキン,112,18.2,1.4,7.0,6.4,0.6,1.2
チキン,ハーブ&スパイスサラダチキン,119,22.6,3,1.0,0,0.9,1.2
魚,ファミリーマート さばの塩焼き,237,14.6,19.7,0.3,0.3,0.0,1.2
魚,ファミリーマート 銀鮭の塩焼き,121,12.4,7.8,0.2,0.2,0,1.0
魚,セブンイレブン さばの塩焼,300,17.1,25.7,0,0,0,1.4
魚,セブンイレブン 銀鮭の塩焼,154,15.5,0.2,0.1,0.1,0,1.1
魚,サミット サバ缶,188,19.8,11.9,0.5,0.5,0,0.8
魚,八戸 鯖水煮缶(食塩不使用),162,15.1,11.2,0.1,0.1,0,0.13
大豆・卵,高野豆腐の煮物,87,8.5,5.7,0.75,0.6,0.15,0
大豆・卵,だるま納豆,96,7.7,4.5,6.6,6.6,0,0.6
大豆・卵,あづまや国産中粒納豆,79,6.4,4.1,5.6,2.7,2.9,0.53
大豆・卵,ゆでたまご(1個),71,6.63,5.51,0.16,0.16,0,0.16
主食,トラディショナルオートミール,112,3.1,2.5,20.88,18.00,2.88,0
主食,蒟蒻効果（パスタ 80gあたり）,249,8.8,1.6,59.3,48.7,10.6,0.1
主食,小諸七兵衛（そば）,346,13.2,2.1,68.5,68.5,0,2.8
主食,無塩そば,362,11.3,2.9,72.6,72.6,0,0
キムチ・漬物,牛角キムチ甘辛味(キムチくんマーク),82,2.3,0.5,17.1,14.7,2.4,2.4
キムチ・漬物,モランボン 韓キムチ(キムチくんマーク),60,2.6,0.7,10.9,8.5,2.4,2.2
チーズ,雪印SNOWチーズ(1個),55,3.5,4.4,0.4,0.4,0,0.52
チーズ,Q.B.B チーズ(1個),45,2.7,3.7,0.2,0.2,0,0.35
ナッツ,素焼きアーモンド,641,21.2,56.0,17.9,8.1,9.8,0
ナッツ,素焼きかぼちゃの種(1袋90g),526,29.3,41.2,12.0,6.5,5.5,0
ナッツ,素焼き落花生(100g),610,24.2,48.1,23.7,16.4,7.3,0
スープ,無印良品 ユッケジャン,161,7.6,7.7,15.3,15.3,,2.6
スープ,無印良品 スンドゥブチゲ,107,6.3,4.5,10.3,10.3,0,2.5
スープ,リケン わかめスープ(1食分),15,0.8,0.5,2.2,1.6,0.6,1.4
スープ,大森屋しじみわかめスープ,15,1.0,0.6,1.7,1.1,0.6,2.0
サプリ・プロテイン,日清MCTオイル(2g),18,0,0,0,0,0,0
サプリ・プロテイン,beLEGEND リアファイバー(1食),23.6,0.1,0.0,9.4,1.6,7.8,0.01
サプリ・プロテイン,EAA-SHOT(1食),24.9,2.2,0.08,3.9,3.8,0.1,0.6
サプリ・プロテイン,アミノエール(1食),14,3.0,0.08,0.7,0.7,0,0
サプリ・プロテイン,プロテインバー ベイクドビター(1食),208,16.1,13.0,10.0,3.5,6.5,0.4
弁当・惣菜,松屋 キムチ牛めし,736,18.9,29.7,94.4,94.4,0,4.8
弁当・惣菜,二色そぼろと鶏照焼弁当(newdays),543,25.9,17.5,70.5,70.5,0,3.9
弁当・惣菜,サミット鶏唐揚げ124g,391,19,27,16.5,16.5,0,1.7
弁当・惣菜,サミット 国産豚のレバニラ81g,180.5,9.6,12.2,7.4,7.4,0,0.6
弁当・惣菜,サミット からあげ(87g),277,13.5,19.6491228070175,11.7,0,0,1.1
弁当・惣菜,なんばんづけ,133,8.2,5.6,11.9,0,0,0.8
弁当・惣菜,レバニラ,148,7.9,10,6,0,0,0.5
自炊・きのこ,しめじとまいたけとエリンギと油揚げそばつゆ煮,170,12.56,11.44,11,3.48,7.52,0
自炊・きのこ,しめじ,26,2.7,0.5,4.8,1.8,3,0
自炊・きのこ,まいたけ,22,2,0.5,4.4,0.9,3.5,0
自炊・きのこ,しめじとまいたけのそばつゆ煮,218,17.26,12.44,20.2,6.18,14.02,0
